mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
20.73129979769389,2.965316981965986,8.71416425704956,0.953976308675361,10,1,0.001,linear,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8370825834833033,0.8347917395869794,0.8374756213432015,0.83645,0.0011834516405401943,31,0.8388838883888389,0.8403789905252369,0.8379621528385371,0.8390750105842043,0.0009958821453478774
46.472371419270836,5.621550066831259,20.27232281366984,2.1563994743326687,10,1,0.001,rbf,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.823635272945411,0.8257912895644782,0.827874181127169,0.8257666666666666,0.0017306362007728083,35,0.8273077307730773,0.8277793055173621,0.8260130490213234,0.8270333617705877,0.0007467146999111456
24.767950614293415,5.618009663364729,7.557741562525432,0.49226830948504025,10,1,0.0005,linear,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.0005, 'svm__kernel': 'linear'}",0.8372825434913017,0.8345917295864793,0.8372755913387008,0.8363833333333334,0.0012668108313145117,33,0.8388838883888389,0.8401539961500962,0.838162137839662,0.8390666741261991,0.0008233803704033007
61.46306109428406,6.084815511440739,23.872161944707234,2.0306712964722924,10,1,0.0005,rbf,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.0005, 'svm__kernel': 'rbf'}",0.8141371725654869,0.8138406920346017,0.8190228534280142,0.8156666666666667,0.00237600061043548,36,0.8168816881688169,0.8176045598860029,0.8161887858410619,0.8168916779652938,0.0005780304972388985
19.037111520767212,0.7329221071054525,7.572862148284912,0.48184824027016776,10,1,0.002,linear,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.002, 'svm__kernel': 'linear'}",0.8375324935012998,0.8347917395869794,0.8374756213432015,0.8366,0.0012787960483156614,26,0.8388088808880888,0.8401539961500962,0.837837162212834,0.8389333464170065,0.0009499293391717948
34.49502317110697,1.6692158112221362,17.758968114852905,1.629121230665982,10,1,0.002,rbf,"{'pca__n_components': 10, 'svm__C': 1, 'svm__gamma': 0.002, 'svm__kernel': 'rbf'}",0.8336332733453309,0.8342917145857293,0.8373255988398259,0.8350833333333333,0.0016079722064929972,34,0.8365336533653366,0.8370540736481588,0.8366372522060845,0.83674165973986,0.00022492223474640882
52.89866399765015,1.7592862915031422,7.970425049463908,0.8364545521176194,10,10,0.001,linear,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8376324735052989,0.8349417470873544,0.8372255838375756,0.8366,0.0011842263868842577,26,0.8387088708870887,0.8406289842753931,0.8381871359648027,0.8391749970424282,0.00104995586812083
27.924336274464924,1.027288219634937,14.223984877268473,0.7919041833562037,10,10,0.001,rbf,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.8441811637672465,0.8423421171058553,0.8447267090063509,0.84375,0.0010200967111917653,23,0.8462596259625963,0.8470788230294243,0.8457615678824089,0.8463666722914764,0.0005430681160343792
53.26463643709818,1.2200272468436624,7.416317780812581,0.2222229303897958,10,10,0.0005,linear,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.0005, 'svm__kernel': 'linear'}",0.8375824835032993,0.8348917445872294,0.8373756063409511,0.8366166666666667,0.0012225791270186952,25,0.8387338733873387,0.8406289842753931,0.8383121265905057,0.8392249947510791,0.0010075903692960391
30.490158716837566,2.9388287095433463,16.12703998883565,1.0414603697839986,10,10,0.0005,rbf,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.0005, 'svm__kernel': 'rbf'}",0.8351829634073186,0.8361918095904796,0.8378756813522028,0.8364166666666667,0.0011107491252274975,32,0.8372587258725872,0.8386790330241743,0.8380371472139589,0.8379916353702402,0.0005807303431320521
52.693262577056885,1.0046198042435346,7.974811395009358,0.98469580247091,10,10,0.002,linear,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.002, 'svm__kernel': 'linear'}",0.8374825034993001,0.8348917445872294,0.8373255988398259,0.8365666666666667,0.0011860354415961483,28,0.8387088708870887,0.8407539811504713,0.8383371247156464,0.8392666589177354,0.0010625894070581403
22.9044353167216,1.9644475026075299,13.295077323913574,1.1259420350004608,10,10,0.002,rbf,"{'pca__n_components': 10, 'svm__C': 10, 'svm__gamma': 0.002, 'svm__kernel': 'rbf'}",0.8629774045190962,0.8619430971548577,0.8631794769215382,0.8627,0.0005415119461061615,21,0.8635863586358636,0.8659783505412365,0.8635602329825263,0.8643749807198754,0.0011338038411997816
258.02093172073364,8.21312898805975,8.307206153869629,2.444039667454212,10,100,0.001,linear,"{'pca__n_components': 10, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8376824635072986,0.8346417320866043,0.8373756063409511,0.8365666666666667,0.0013668363347607937,28,0.8389088908890889,0.840503987400315,0.8383871209659276,0.8392666664184438,0.0009004751976272828
